Name,Author,FullName,Description,Depends,StdLink
Ctls,"Juan Antonio Ortega, Robert D. Campbell and Helmut Zinn","Buttons, Arrows, Sets, Sliders, RealField and UnitField.","Subsystem Ctls implements a range of Controls, and some related functions for using them:


Buttons2   Controls whose appearance is an arbitrary View
Arrows2   Some pre-configured examples of Buttons2
Sets, SetsF   Graphical & textural controls for SETs
Sliders   Graphical control for INTEGERs in the range [0 … 100]
RealField   Control for REALs with many more formatting options
UnitField   As RealField, but associates values with physical dimentions: eg Length in m & ft.


The last is supported by the module Units which supports a wide range of SI and non-SI units, and can be accessed by other applications.

Buttons are controls that use other singleton views to display the current state. They have primarily been implemented to create picture buttons but they are not limited to displaying pictures only. In fact any singleton view can be used as a button state. This implements Command Button Controls whose appearance is an arbitrary BlackBox View. It features an easy-to-use graphical interface for configuring the Buttons.

A set of sample Arrows has been included. It provides 9 preconfigured versions of view buttons. The arrow forms included are top, up, down, bottom, start, left, right, end, and circle (well, we know a circle is not exactly an arrow, but it's still useful).

Sets implements a control for SET-Variables.

Sliders contains a simple Slider Control, a TwinSlider for specifying INTEGER ranges, and a simple CHARacter Edit Field.

There are also controls for to display and handle simple Progress Bars as seen in many applications for long running commands. And last but not least there is a Trackbar & Mixer control.

Figures can be thought of as simplified inert Controls. Their main use to go onto Forms, but there is no reason why they shouldn't be used in any Container or Document. Their function is decoration.

Colour is a simple 'Property Editor' for updating the Color Property (part of Properties.StdProp) of items.

RealField and UnitField are modules that implements a Field, or 'Edit Field', Control similar to the standard BlackBox Field Control. This Control is limited in that it can only be linked to variables of type REAL, however it allows more options for formatting the REAL number.

The first download is the Chill part without obsolete files. The second download includes the obsolete files for backwards compatibility.

",,http://www.zinnamturm.eu/pac/Ctls.pac
Ctlsx,Gerhard Marent,Tables and other Controls Extensions.,"Subsystem Ctlsx contains a collection of controls e.g. Buttons, Captions, Fields, Tables.



CtlsxButtons work as CtlsButtonsV, but it is also possible to use them as radio buttons. A radio button has to be linked to an integer variable. In this case, the command of the button must be integrated into the notifier procedure.


CtlsxCalendars includes a Calendar Control that shows one month. It is possible to define the range of the calendar and toggle from month to month. Special days e.g. holidays can be defined by mouse clicks.


CtlsxCaptions adds color to the caption and allows changing the color to red, when the caption is linked to an integer variable and the corresponding number equals level property.


CtlsxColorIndicators just show a color. The form of the control can be changed by the properities inspector (Rect / Oval).


CtlsxFields allows formatation of integers and reals and a more convenient input of real numbers with the German keyboard. Also character variables can be linked to CtlsxFields.


CtlsxHourCtlsx is a control which allows selection of hours of one week, including different types of special days, e.g. holidays.


CtlsxLines draws horizontal and vertical lines (not really a control, but useful for forms)


CtlsxStdButtons provide a selection of prefactored buttons and comes with a form that eases application.


CtlsxSets allows selection of bits of a variable of type SET.


CtlsxSliders contains a slider control, similar to ObxSliders.


CtlsxTables is a table Control, which allows some formatation (numbers, background, font, frames, ...). You can add skills to each cell e.g. to prevent editing, allow insertion of cols and rows, skip cells, toggle strings (yes/no, right/left, ...) by mouse click. Limited conversion to Excel is also possible.



",Misc,http://www.zinnamturm.eu/pac/Ctlsx.pac
Datafit,Gérard Meunier,Non-linear data modelling by the simplex method.,"This program tries to fit a model to a set of data by searching the least squared difference curve. The minimization is obtained by the so-called ""simplex algorithm"".

",,http://www.zinnamturm.eu/pac/Datafit.pac
Dbu,Stewart Greenhill,HTTP Client and Server Utilities.,"Subsystem Dbu is a collection of modules for creating HTTP servers and clients. It provides low-level buffering of network streams, allowing ASCII files to be easily sent and retrieved via a TCP/IP channels.

An unusual feature of the HTTP server implementation is that a single server can function both as origin server and proxy server. I developed this design to allow me to experiment with dynamic document rewriting. An intelligent proxy can dynamically create content as the user explores the web and merge this content with external HTML documents ""on-the-fly"" as they are retreived.

Note that this is not a ""quality"" release, as I haven't had time to properly structure and document many functions. This code has served its purpose and will not be developed further (by me, anyway). However, the server functions are reasonably modular. New facilities can be added fairly easily by implementing HTTP.Handlers and HTTP.Filters. See Dbu/Docu/Manual for more details.

",,http://www.zinnamturm.eu/pac/Dbu.pac
Demo,Robert D. Campbell,Sample programs of using the Chill group.,"A collection of demonstrations ranging from the very simple (Hello World), through the practical (TinySine & Rose demonstrate simple uses of the module LibPlotters) to the sophisticated.

Donald Knuth has a very flexible (abstract) problem solving algorithm, called ""Dancing Links"" or ""DLX"". This is implemented with examples that include an efficient Sudoku solver and a Polyomino placement solver.

The use of ""Turtle graphics"" (called Gerbil graphics here!) to create recursively designed curves, such as Dragon curves is also demonstrated.

The most sophisticated example is a mapping tool, with many options, that can download worldwide maps in many formats such as Open Street Map or Open Cycle Map, and manage Tracks and Routes in gpx format compatible with many external GPS devices.

",Ctls,http://www.zinnamturm.eu/pac/Demo.pac
Desktop,Fyodor Tkachov and Helmut Zinn,Persistent Desktop.,"This subsystem adds a little bit of persistence to the BlackBox desktop. It allows you to save and restore the documents open on your desktop, and some state information about them (such as their window positions). The desktop information is stored in desktop files, it is therefore possible to maintain a series of desktop files. If you leave BlackBox the current desktop file is automatically stored and reloaded once you restart BlackBox. Most importantly, the windows now remember selections and what is shown in each window. The ordering of windows is now also preserved.

",,http://www.zinnamturm.eu/pac/Desktop.pac
DevCPConv,Marc Frei and Bernhard Treutwein,Oberon Conversion Tool.,"For ease of porting and to simplify the migration from Oberon to Component Pascal, this conversion tool is provided which automates much of the necessary conversion process. The converter translates Oberon/L source code (which is assumed to be syntactically correct) into Component Pascal source code. Changes are marked.

Oberon/L was the marginally changed version of Oberon-2 which was used in Oberon/F which in turn was the previous name of BlackBox. The translator should work with standard Oberon and Oberon-2 source code. Active Oberon will need some manual intervention before it can be translated correctly.

This module stems from BlackBox version 1.3x and is usable with the current version of BlackBox. Kudos to Marc Frei of Oberon Microsystems for digging out and providing this source.

",,http://www.zinnamturm.eu/pac//DevCPConv.pac
DiaPlot,Ivan Denisov,2D diagrams plotting.,"DiaPlot allows to plot 2D graphs with unlimeted number of curves, to make animated graphs, to export graphs to ""csv"" and ""mpl"" formats.

",,http://www.zinnamturm.eu/pac/DiaPlot.pac
Dos,Helmut Zinn,An Update Program.,"Subsystem Dos contains several tools which I use for


data replications (incremental backups)
comparing two versions of BlackBox
software testing (test harness)


The most importend tools is an update program for data replications. I implement the replication in two steps: compare & update. The first step compares two directory trees and list all difference in a document. You can proof this list and edit it. Based on this document, the second step run through that list and copy the new and changed files. Old files, which doesn't exist in the source, are deleted in the destination.

Another program can compare two version of BlackBox and create a document of differences including links to the old and the new files.

For software testing I need a procedure which compares 2 files line by line. You find such kind of comparison inside this subsystem. DosDiffFiles are my basic modules for the test harness. I need them during the software development and maintenance. I use them for testing of my programs with test pattern and proofing the program result automatically.

Further there are programs for time messurement, calculating MD5 and SHA-256 checksums.

",Pac,http://www.zinnamturm.eu/pac/Dos.pac
Dragoncity,Brett S. Hallett,Developing Programs with BlackBox Oberon and MySql.,"This is my collection of notes, example code, etc... I created to ""fill in"" the gaps not explained by the standard documentation supplied with Blackbox Oberon on how to actually write useful programs.

The book is approximately 160 pages and is not complete. But still useful !!

It covers Installing, Setup and Interfacing to MySQL in depth, writing report programs (including a complete SQL report generator), writing complete GUI/MySQL systems, etc... It does not cover the more esoteric usage of the language, because I have'nt the need to be bothered to work them out. I make no attempt to cover the complete BlackBox Oberon Language.

Blackbox Oberon is a very powerful programming tool and well worth consideration. But I should also advise you that while I really like Blackbox Oberon I have found it lacks certain features that I need for commercial database programming development.

For more information read my manuscript in PDF format (1.8 MByte). The same documentation is also in the BlackBox StdCoded File. You find it at 'Draconcity/Docu/DevelopingInBlackbox.odc'. You'll find further information about MySQL at http://www.mysql.com/.

",,http://www.zinnamturm.eu/pac/Dragoncity.pac
Elicitor,Mary Kynn,Distributions for a logistic regression model.,"The program, Elicitor, is for the elicitation of expert prior distributions for a logistic regression model, which I was extending to generalised linear models. The hooks are there but only a couple of alternatives were actually written. The controls are fairly intricately considered as the psychological components of eliciting distributions was a big part of my work. This may make the program overly complex. Of course I'm willing to correspond to anyone who wants to take on what I started.

",Logit,http://www.zinnamturm.eu/pac/Elicitor.pac
Epse21,Fyodor Tkachov,Efficient Programming for Sciences and Engineering in the 21st Century.,"This package of software helps novices (physicists) to start programming in Blackbox. It is the result of a would-be project ""Efficient Programming for Sciences and Engineering in the 21st Century"" which was discussed last summer, and whose first visible result is the Oberon Day 2004. I plan to add more examples there in future.

",Babel Util Ctls Plot Lib,http://www.zinnamturm.eu/pac/Epse21.pac
Escher,Gérard Meunier and Robert D. Campbell,Escher constraint-drawing editor.,"A constraint-drawing editor allows the user to maintain a set of Points and Figures on the drawing plane. Points come in two flavours: Free Points and Constrained Points. While the former can be freely placed and moved by the user, the latter depend on other Points, which will (fully or partially) define the position of a Constrained Point. If necessary, the system will move Constrained Points automatically to maintain the respective constraints. Examples of Constrained Points are points located in the middle of two given ones, on a corner of a rectangle, or anywhere on a circle.

Escher is a reworking of the original 'Constraint Drawing' package Brahe published by Joakim Björklund, Niclas Forsen, Gabor Magyar, Peter Mitts, and Wolfgang Weck 1997.

Escher uses the original constraint drawing concept and implementation from Brahe virtually unchanged, but with the following differences:


The underlying data type has been changed from INTEGER to REAL.
Several new Point and Figure types have been added.
The user interface code has been extensively rewritten to provide new and improved functionality.
Multi-language support has been added to the user interface (English, French & German).
A few old bugs have been removed; no doubt some new ones have been added!
The Documentation has been significantly extended & updated to reflect the above changes.
A Module that adds Animation to Escher drawings.
Support for drawing conic sections (ellipses and parabolas etc).


The dependancies Escher has on non-Oms subsystems are:


Optional: CtlsRealField & CtlsSliders.Slider. ('Oms-only' versions of the Forms are also provided.)


Escher uses optional the services of Ctls.

StdCoded File <=>",,http://www.zinnamturm.eu/pac/Escher.pac
Filter,Robert D. Campbell,Digital and other filter design and analysis.,"Filter provides extensive support for designing and using digital FIRs (Finite Impulse Response filters), for DFTs (Discrete Fourier Transforms), many fast algorithms (FFTs) for implementing them, and many fast functions that exploit them (such as convolutions).

A range of analogue filters are also supported, as are both Fourier Series and (analogue) Fourier Transforms.

The FFT algorithms are written with an emphasis on accuracy; important when they are used by the Multi subsystem for fast multi-million digit arithmetic.

",Ctls Multi Lib Algebra,http://www.zinnamturm.eu/pac/Filter.pac
Frame,Robert D. Campbell,An abstract hierarchical Specification framework.,"Frame implements two major capabilities:



An abstract hierarchical 'Specification framework' for specifying the defining parameters of large systems comprising sub & subsub systems. Full version control and history recovery, operating at both system & subsystem level, is build in.


An abstract 'Calculator' engine for evaluating the relationships between a small (≤ 32) number of parameters. The relationships are defined, and the calculator automatically uses these to determine any parameter's value provided sufficient constraints are imposed.For example, if given the relation ""Volts = Amps × Ohms"", it knows how to calculate any output from any two inputs.
Practical examples are provided.



",Ctls Lib,http://www.zinnamturm.eu/pac/Frame.pac
FreeImage,Necati Ecevit,"Loading, displaying and saving popular graphics image formats.","This subsystem contains Component Pascal wrapper for FreeImage.dll (v3.17.0).

What is FreeImage?
FreeImage is an Open Source library project for developers who would like to support popular graphics image formats like PNG, BMP, JPEG, TIFF and others as needed by today's multimedia applications. FreeImage is easy to use, fast, multithreading safe, compatible with all 32-bit versions of Windows, and cross-platform (works both with Linux and Mac OS X). For more information about FreeImage look at http://freeimage.sourceforge.net/.

",,http://www.zinnamturm.eu/pac/FreeImage.pac
GftAudio,Douglas G. Danforth,Sound Recording and Playing.,"Module GftAudio provides basic sound handling capability based on Microsoft's Multimedia libraries (WinMM). Recording and playing of 8bit or 16bit data is provided in mono or stereo form. Your sound card determines whether it supports all of the formats specified by GftAudio.

",,http://www.zinnamturm.eu/pac/GftAudio.pac
GftGlyphs,Douglas G. Danforth,Inserting special characters into text files.,"Module GftGlyphs inserts special characters into text files by clicking on a palette of symbols. The carat in the target text window is maintained when clicking on the palette so that one can ""type, click, type"" without having to reposition the carat.

This release includes the font file Gft.ttf with special mathematical symbols included. See the documentation for what symbols are supported.

GtfGlyphs",,http://www.zinnamturm.eu/pac/GftGlyphs.pac
GftMessages,Douglas G. Danforth,BlackBox Messages Notification.,"GftMessages provides notification of (almost all) BlackBox messages using the StdLog by use of WITH to determine which message has been passed to a handler routine. If there are some messages that I have missed then please let me know. The name of the message is written to the log but any fields of the message are not. This is a great way to see what messages are being sent to your views.

",,http://www.zinnamturm.eu/pac/GftMessages.pac
GftSearch,Douglas G. Danforth,File Searching.,"GftSearch allows multiple strings to be searched simultaneously. Arbitrary directories and files can be searched.

For example one can search for the following 3 strings simultaneously:
   callback
   call back
   procedure variable

Options
OR    specifies that any of the entered strings found in a file will trigger a report.
AND  specifies that all of the entered strings must be in a file to trigger a report.

The search mechanism builds a finite state machine that simultaneously looks for all strings sought (there can be hundreds of them). Search time is independent of the number of strings sought and is a linear function of the length of file searched. The core GftSearch can be embedded in a large number of applications since the user determines from whence the bytes comes and how to handle pattern matching when it occurs (See GftSearchFile for example).

The routine is very fast and examines each byte in a file only once. The routine is based on XSearch developed by Scott Daniels and Pentti Kanerva in the 1970s.

Compared to BlackBox 'Search' it is about 5 times faster (this must be qualified since the first time 'Docu' is searched both techniques yeild similar times. It is the second and subsequent times that Docu is seached that the speedup occurs. I believe this has nothing to do with search initialization but rather with Blackbox or Microsoft's dirctory allocation scheme).

GtfSearch",,http://www.zinnamturm.eu/pac/GftSearch.pac
GftWrappers,Douglas G. Danforth,Keyboard & Mouse Wrapper.,"An arbitrary view can be wrapped (and unwrapped) such that keyboard and mouse events can be handled by the view. When a mouse key is held down, the wrapper does not block other BlackBox processes (e.g. Clock).

GtfWrappers",,http://www.zinnamturm.eu/pac/GftWrappers.pac
Good,Gérard Meunier,Entertainment.,"This software calculates the succession of operations from six integer data to an integer result. You can compete with friends to find who will guess the solution first.

",Babel,http://www.zinnamturm.eu/pac/Good.pac
Gr,Wojtek Skulskii,Data Acquisition and Monitoring Toolbox.,"BlackBox/Gr (Gr in short) is a toolbox of histogramming and graphical modules to support developing interactive data acquisition (DAQ) and monitoring programs. Such programs can be used to collect and display data from laboratory equipment (e.g., voltmeters), the DAQ modules (e.g., CAMAC modules), and various sensors and probes (e.g., temperature probes, Hall effect probes, etc.). You find slides and further information at http://www.pas.rochester.edu/~skulski/.

",,http://www.zinnamturm.eu/pac/Gr.pac
Han,Werner Bossert,Han Numbers - 中文数字,"The traditional Chinese numerals are used in the East Asian cultural sphere, in Greater China, in Japan, in Korea and in Vietnam and is one of the written numeral systems. They are based on Chinese characters (Hànzì) that correspond to numerals in the spoken language. Large numbers follow the Chinese tradition of grouping by 10,000.

There are two sets of characters for Chinese numerals: one for everyday writing and one for use in commercial or financial contexts. Negative numbers are formed by adding (负, 負) before the Han number.

",Ctls,http://www.zinnamturm.eu/pac/Han.pac
Hermes,Gérard Meunier,Scientific Spreadsheet.,"Hermes is a tool for making complex calculations and 2D plotting. It can handle and combine real functions, set of measured values, operations like derivations, integrations, fast Fourier transform, data modeling, etc... It has a general interface for data acquisition systems and can acquire data, make simple calculations on them and plot the result in real time. A data simulator and a Fourier synthesizer are included.

Hermes is used every day for physics teaching.

For the moment, all the user interface and its documentation are in French, even if all is ready for their translation (but time is not extendable...). The documentation may not be up to date everywhere, for Hermes is changing every day. You can get the most recent version of Hermes at http:\\gemeu.free.fr.

",Escher Babel CpcBitmaps Util Ctls CpcFloat,http://www.zinnamturm.eu/pac/Hermes.pac
Html,Helmut Zinn,Html Importer and Exporter.,"You can translate BlackBox documents to html files and wise versa. All tags that are not translated are in a tag view. The tag views can be created, expanded, collapsed, shown and hidden.


Read html files from BlackBox via menu [File][Open]
Write html files from BlackBox via menu [File][Save] or [File][Save As...]
Creating tag-views in odc documents
Deleting all tag-views in odc documents
Convert all odc documents to html
Convert all html documents to odc


",Ctls,http://www.zinnamturm.eu/pac/Html.pac
Http,Josef Templ,Http/Https-Server.,"The subsystem Http provides a minimal and safe subset of an HTTP/1.1 server running as a background action. It is minimal and safe in the sense that it does not handle any http request itself but delegates all requests to so-called servlets. The server only handles the http protocol, i.e. it listens on a local address, accepts connections, reads from and writes to a connection, and eventually closes a connection. The server is non-blocking.

   The http server can be run with any protocol driver that provides CommStreams listeners. This includes CommTCP for running the server unencrypted over plain TCP/IP connections and HttpCommSSL for running as an https server over an SSL/TLS encrypted TCP/IP connection. The latter case requires additional openssl libraries, certificate and key files, and a basic understanding of SSL/TLS. For details please refer to the openssl documentation.

   A servlet is registered for a particular prefix of the server's name space. It is the task of the servlet implementation to handle http requests directed to the name space part that is covered by the servlet. The implementation of a servlet may itself be inverted, i.e. it may be split into a sequence of continuations until a response is delivered. This enables long-running servlet implementations to be split into smaller pieces and allows for intertwined handling of multiple requests.

   The design of the http server lends itself for implementing so-called REST APIs based on Component Pascal. By implementing and registering a servlet an application specific REST API can be easily provided without the complexities, safety issues, and interfacing problems of a full blown web server.

   The http server itself does not introduce anything like a session state because http is a state-less protocol. However, sessions can be created easily by means of so-called cookies, which can be set and get via header fields. A session is a server side data structure identified by a unique id, e.g. a sequential number or a GUID. This id can be sent to the client upon creation of the session via a Set-Cookie response header field (rfc 6265). The Client will then add a Cookie request header field with the same content, viz. the session id, with future requests to the same site.

Limitations:
There is currently no support for named virtual hosts.
Currently supported URI formats: Request URIs are expected to be percent-encoded according to rfc 3986. The query part of a GET URI or a POST message content expects the content type application/x-www-form-urlencoded. Utf-8 is used as the character set.

Currently supported content encodings: There are no encodings other then the 'identity' encoding, i.e. no gzip or compress.

Two servlets are provided together with the http server:
- A SentinelServlet is registered for the empty name space prefix, i.e. it matches any request that is not handled by another servlet. Its task is to report an error message for any unhandled request.
- An EchoServlet is provided for testing and debugging purposes. Its task is to return the http request as its html result. This allows for inspection of http requests, in particular of the requested URI and the provided header fields and query parameters. The echo servlet is not registered by default.

An additional servlet (HttpWeb.Servlet) is provided for serving files located in a specified root folder. This servlet, although quite simple, turns an http server into a more traditional web server. For specifying a favorite web icon for your site another servlet (HttpWeb.FaviconServlet) is provided.

",,http://www.zinnamturm.eu/pac/Http.pac
Info,Helmut Zinn,"Check, collect, link, replace & search all documents.","The Info subsystem is a collection of tools to manage links and documents. It supports the following tasks:


Open a document in the same mode (browser or edit) as the current one
Start a program via link
Translate a website
Search through all documents
Create link list (table of contents)
Collect the documents
Correct text & links via change list
Build Cross-reference (subject index)
Check filenames
Check links
Replace in all documents


If you insert the following link in a odc document
   <InfoCmds.Start('http://www.oberon.ch')>Oberon Microsystems<>
then you have a link to the website of ...

If you insert the following link in a odc document
   <InfoCmds.Start('mailto:my.friend@mailbox.com')>mailto:my.friend@mailbox.com<>
then you can send a mail to ...

Another application of this subsystem is to translate a website. Select an url in your text document (e.g.: http://www.oberoncore.ru) and press the key Shift+Ctrl+L simultaneously. You get the translation of the oberonecore website from Russian to English.

And so on ...

",Ctls Dos Pac,http://www.zinnamturm.eu/pac/Info.pac
Info21,Fyodor Tkachov and Helmut Zinn,Project Informatika-21. Component Pascal as a first language.,"The value of Oberon/CP as a first language is obvious to most of us. The Info21 subsystem is a collection of tools to support this tasks. Russian high schools use Info21 in the Project Informatika-21. One module of Info21 provides an approximation to the Turbo Pascal graphics library.

You can participate the International Olimpiad in Informations Problems and write your solutions in Component Pascal with this subsystem. Another module shows how an exe-file can be generated for automatic processing by programming contest jury.

Info21 uses optional the services of Dos

StdCoded File <=>",,http://www.zinnamturm.eu/pac/Info21.pac
Kine,Gérard Meunier,Simulation Tools.,"This software provides some simulations in mechanics.

It includes the simulation of:


the motion of a satellite;
a projectile in a homogeneous gravity field, with or without friction;
a pendulum.


",Ctls Babel,http://www.zinnamturm.eu/pac/Kine.pac
Kurzweil,Helmut Zinn,Small programs for education and fun.,"Currently available programs:


Color Clubs (Farbenkreuz)
Prime Number Helix (Zahlenspirale)


",TboxTimer,http://www.zinnamturm.eu/pac/Kurzweil.pac
Lib,Robert D. Campbell,Engineering & Scientific library.,"Lib is a subsystem that contains a library of general purpose routines suitable for engineering type applications. It comprises modules for graphics (2D, 3D, timeseries), complex numbers, vectors, matrices, eigensystems, integration, root finding, special functions, random variates, linked lists, sorting, factorisation, timing, large sets, and an extended formatter.

This version of Lib contains many years of development since the last version was published, and some interfaces will have changed. It should be easy to adapt client code. Any issues could be discusson at http://community.blackboxframework.org/viewforum.php?f=38.

",Ctls CpcChill CpcCompressors Casket,http://www.zinnamturm.eu/pac/Lib.pac
Logit,Mary Kynn,Visualising the parameters of a logistic regression equation.,"Tools for reverse-engineering the logistic regression model. That is, if the expert has given their opinion via the graphs in Elicitor, these tools can be used to input the parameters of the posterior distribution to get graphs to compare the changes from the prior in the (hopefully sensible) format the prior was elicited in. Note that one needs to be careful of context and interpretation!

",Elicitor,http://www.zinnamturm.eu/pac//Logit.pac
Lola,Niklaus Wirth and Josef Templ,Lola.,"The subsystem Lola provides a port of the logic description language Lola-2 designed and implemented by Prof: Niklaus Wirth at ETH Zurich. Lola-2 uses a syntax similar to Oberon (and Component Pascal) for describing digital circuits (logic) that can be implemented for example on a Field Programmable Gate Array (FPGA). Lola texts are translated into the Hardware Description Language (HDL) Verilog. Hardware vendor specific tools must be used for mapping a Verilog program onto a particular hardware. The advantage of using Lola over Verilog is that it is much simpler and less error prone due to increased regularity and static error checking. For details about Lola-2 see the Lola-2 homepage.

",,http://www.zinnamturm.eu/pac/Lola.pac
Media,Juan Antonio Ortega,Media Player.,"Would you like to play your favourite music with BlackBox? Do you want to watch your videos? Now it's possible with subsystem Media! With this subsystem you can play media files such as wav, mp3, avi, and so on. Audio CDs are also supported.

",Ctls Dos Pac Babel,http://www.zinnamturm.eu/pac/Media.pac
MGui,Gerhard Marent,MGuiBase implements some basic elements for GUIs.,"Content and main features

 


Colors - Collection of colors, used in controls and forms.
ColorIndicators - Shows filled rect or oval with defined color.
FormViews - Form view, that can resize it's content.
MonthFields - Field, that handles month / year.
TabViews - Tab view, that can hide the tab header and can be used to reduce complexity of forms.
Accordions -Similar to tab views but different in apearance. They also contain a status field.
MandatoryFields - Field, that indicates missing input or input out of valid range.
TextButtons - TextButton has the usual properties of a button but is represented by text string.


MGui uses optional the services of CpcFormTidy.

StdCoded File <=>",,http://www.zinnamturm.eu/pac/MGui.pac
Misc,Gerhard Marent,"Procedures for Calendar, Time-Handling, Dialog, Lists and Sorting.","This Library provides 10 modules:


Module MiscCalendar - calendar procedures.
MiscTimeSeries - simple time series handling.
MiscCLists - simple linear list, based on items of type Stores.Store.
MiscSLists - simple linear list, based on items of type Stores.Store.
Dialog - Some procedures to ease the use of Dialog.List.
Sorts - Some sorting procedures.
States - State names and their abbreviations.
Scrollers - A type of scroller.
TextWrapper - A wrapper for text views, embedded in forms.
TextUtil - Some text utilities.


",,http://www.zinnamturm.eu/pac/Misc.pac
Mk,Michael Kühn and Helmut Zinn,Learning a Programming Language with Mk Turtle Grafik - the easy way!,"You are welcome! MKTurtle is a learning environment. It helps pupils to getting started to learn a programming language.

We introduce a programming environment, which is easier to use than usually. Computer science teacher should have a look and try out the turtle grafik.

The turtle grafik uses the programming language Component Pascal (Oberon-2). The necessary programming environment is called BlackBox. Everyone can download BlackBox from the web site www.oberon.ch.

The documentation of the turtle grafik is in German completly. You found a short German-English dictionary inside Quick-Start. There are several programming examples with source code.

See also software for teaching from Michael Kühn under http://www.kuehnsoft.de/

",Ctls,http://www.zinnamturm.eu/pac/Mk.pac
Multi,Robert D. Campbell,Arbitrary ultra high precision arithmetic.,"Multi implements multi-precision arithmetic for integers and real numbers (using both fixed and floating point formats). There is a comprehensive real function library (Sines, Exponentials, Log etc) tested to 10000 decimal places, but probably good for many more.

There are advanced 'fast' algorithms (based on Fourier transforms (FFTs) and Number Theoretic Transforms (NTTs)) that implement basic arithmetic effectively to multi-million decimal places. This is used to implement a variety of fast algorithms to compute Pi to this precision. There are also several fast integer factorisation algorithms implemented (such as the Continued Fraction method), although the most sophisticated methods (Elliptic Curve and Number Field Sieve) are not available.

This subsystem also implements arithmetic for the 32-bit & 64-bit 'Cardinals', ie unsigned integers, and algorithms that use these (eg factorisation).

",Ctls CpcChill Filter Algebra,http://www.zinnamturm.eu/pac/Multi.pac
My,Douglas G. Danforth,Interaction with the BlackBox framework.,"Subsystem My is intent to simplify the interaction with the BlackBox framework.



MyFiles - File Opening and Closing
The intent of MyFiles is to simplify the opening and closing of files. It introduces ReadControllers and WriteControllers to symmetrize the operations of opening and closing old and new files.


MyTexts - Opening Text Scanners and Formatters
MyTexts simplifies the opening and closing of scanners and formatters provided by TextMappers. It introduces ReadControllers and WriteControllers to symmetrize the operations of opening and closing.


MyObjects - Abstract objects
MyObjects supports the basic types of Component Pascal as instances of an abstract object. The abstract object is meant to be used in Lists, Sets, Stacks, Rings, Queues and other computer science data structures.


MyLists - Lists of abstract objects
MyLists supports the storage of (abstract) objects in a linear list. Elements of the list may be duplicated. One can add to the head or tail of the list. One can iterate over the list using First (which initiates an iterator) and then using Next(o) to obtain the object at the current position of the iterator. Next fails when it reaches the end of the list. While iterating one can add new element (behide the iterator's position) or delete an element (behind the iterator's position). MyLists is a basis for sets, stacks, and queues.


MySets - Sets of abstract objects
MySets implements the storing of abstract objects in sets. A set is a collection of objects with no repeats. Elements may be of homogeneous or heterogeneous type. For example a set could consist of the three objects a string, a list, and a set. It is your choice which objects are included in a set. Uniqueness is guaranteed through the Equal method of an object. Objects of different type should never be equal.


MyCoder - StdCoder extended
MyCoder adds two procedures EncodeThis and EncodeObjectList to StdCoder.


MyProject - Project handling tools
MyProject simplifies the creation and maintenance of projects and applications based on a root module. One can compile, unload, encode, make an exe file, and list the hierarchy of modules referenced from root.



",,http://www.zinnamturm.eu/pac/My.pac
Nav,Robert D. Campbell,"Navigating on an Oblate Sphereoid, in particular the Earth model.","This subsystem provides several facilities of use for navigation and mapping. It provides particular support for the WGS84 model of the Earth, for several commonly used general map projections, and particular support for the United Kingdom map projection.

The support comprises background documentation, interactive user tools, and programmers subroutines.

Of particular note are implementations of the Universal Transverse Mercator and Universal Polar Stereographic projections, and an exact implementation of the Ordnance Survey of Great Britain OSTN02 & OSTN15 projections.

There is the full EGM96 geoid model, the full Ordnance Survey OSGM02 & OSGM15 geoid models, and the Ordnance Survey Digital Terrain Elevation Data (DTED) model of Great Britain with 50 m postings.

Further tools calculate geodesics, and calculate gimbal angles for sight-line pointing devices, both operating with ellipsoidal Earth models.

",CpcChill Ctls Algebra Lib Multi Filter,http://www.zinnamturm.eu/pac/Nav.pac
Numer,Gérard Meunier,Video digitizer.,"This software lets you digitize the positions of moving points in video movies. It has been tested with avi files. Acquired data may be exported to spreadsheets or to Hermes. One can visualize reference frame changes too (translation case only).

",Babel Plot,http://www.zinnamturm.eu/pac/Numer.pac
Ogl,Eugenius Pokora,An interface to OpenGL.,"OpenGL is an environment for developing interactive 2D and 3D graphics applications. OpenGL gives software developers access to geometric and image primitives, display lists, modeling transformations, lighting and texturing, anti-aliasing, blending, and many other features.

OpenGL(R) is a registered trademark of Silicon Graphics, Inc. A lot of Information about OpenGL, tutorials, source codes, etc. is available from http://www.opengl.org/.

The distribution consists of:


the source codes of an OpenGL interface for BlackBox 1.4 (Windows only).
interface modules to the DLLs opengl32.dll and glu32.dll.
the module Contexts, which allows to display an OpenGL graphics in a BlackBox view.
some auxiliary modules and about 50 example programs.
a very short description of the subsystem.


",,http://www.zinnamturm.eu/pac/Ogl.pac
OglChill,Robert D. Campbell,An extension to the 'Base' or 'Original' Ogl subsystem adding higher level functionality.,"The Ogl 'Chill' modules are a software layer above the original Ogl modules which they use as an interface to the Open GL (Graphic Language) dynamic link libraries (DLLs) opengl32.dll, glu32.dll. It gives (relatively) easy access to some graphic capabilities implemented in OpenGL in a ready-to-use form. Explicitly it implements an extension of the Plotter object defined in the Lib Subsystem.

Examples are provided, as are complete Menu items that will convert simple two-dimensional Map plots into full three-dimensional models supporting arbitrary rotations, complex lighting effects, and hidden surface removal.

",Ctls Lib Ogl,http://www.zinnamturm.eu/pac/OglChill.pac
